00;0000000000000143
01;000000000000007b
02;fffffffffffffe39
03;0000000000000002
04;0000000000000062
05;000000000000007d
06;000000000000000a
07;0000000000000041
08;ffffffffffffffc8
09;0000000000000000
10;00000000000001f4
11;fffffffffffffff4
12;000000000000004d
13;000000000000012c
14;ffffffffffffffa8
15;00000000000000c8
16;000000000000002d
17;ffffffffffffff38
18;0000000000000063
19;ffffffffffffffff
20;0000000000000001
21;0000000000000002
22;0000000000000003
23;0000000000000004
24;0000000000000005
25;0000000000000006
26;0000000000000007
27;0000000000000008
28;0000000000000009
29;000000000000000a
30;000000000000000a
31;0000000000000009
32;0000000000000008
33;0000000000000007
34;0000000000000006
35;0000000000000005
36;0000000000000004
37;0000000000000003
38;0000000000000002
39;0000000000000001
